Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ecuador,ECU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,83.5526886,84.1459474575,84.73920631499999,85.3324651725,85.92572403,86.5189828875,87.112241745,87.7055006025,88.29875946,88.90427915285717,89.51395127209814,90.12780429350177,90.7458668881231,91.36816792363253,91.994736465664,92.62560177917274,93.26079332980198,93.90034078525926,94.54427401670215,95.19262310013328,95.84541831780533,96.50269015963516,97.16446932462813,97.83078672231176,98.5016734741795,99.1771609151443,99.85728059500221,100.54206427990583,101.23154395384819,101.92575182015644,102.62472030299608,103.32848204888532,104.03706992821994,104.75051703680853,105.46885669741827,106.1921224613314,106.92034810991218,107.6535676561848,108.39181534642198,109.13512566174447,109.88353331973161
"Egypt, Arab Rep.",EGY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,38.19675827,38.819481277,39.442204284,40.064927291,40.687650298,41.310373305,41.933096312,42.555819319,43.178542326,43.801265333,44.42398834,45.07432702082164,45.73418624258472,46.40370537989893,47.08302584772885,47.772291131263344,48.47164681622238,49.18124061960745,49.90122242090213,50.63174429372947,51.37296053797276,52.125027712366574,52.88810466756487,53.662352579693255,54.44793498439239,55.245017811359745,56.0537694193971,56.874360631971044,57.70696477329408,58.55175770493396,59.40891786295896,60.27862629562684,61.161066701625714,62.056425468874565,62.96489171389191,63.88665732174074,64.82191698655825,65.77086825267881,66.73371155635913,67.71065026811402,68.7018907356722,69.70764232756066,70.72811747732729,71.76353172841078,72.81410377966746,73.88005553156455,74.96161213304971
El Salvador,SLV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.14315796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.72644043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,55.32503891,56.516473007,57.707907104,58.899341201000006,60.090775298,61.282209395,62.473643492,63.665077589,64.856511686,66.047945783,67.23937988,68.49858622198109,69.78137399220431,71.08818480515284,72.41946854551935,73.77568352308404,75.15729663049298,76.56478350399135,77.9986286871667,79.45932579775862,80.9473776975924,82.46329666569497,84.0076045746529,85.58083307027302,87.18352375460765,88.8162283724073,90.47950900106522,92.17393824411903,93.90009942837605,95.65858680473026,97.45000575274013,99.27497298903737,101.13411677963884,103.02807715623442,104.95750613652511,106.92306794868784,108.92543926004359,110.96530941000789,113.04338064740396,115.16036837221985,117.31700138189326,119.51402212220833,121.75218694289127,124.03226635799243,126.35504531114466,128.7213234457892,131.13191538046212
Ethiopia,ETH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,FJI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
