Year,State Code,STATE,Districts,PRIMARY SECTOR,SECONDARY SECTOR,TERTIARY SECTOR,TOTAL CURRENT PRICES,PER CAPITA CURRENT PRICES
2012,13,WEST BENGAL,HOWRAH,18249,96147,233040,347436,70
2013,13,WEST BENGAL,HOWRAH,20622,108155,273971,402748,80
2007,13,WEST BENGAL,JALPAIGURI,34269,18430,63028,115727,32
2008,13,WEST BENGAL,JALPAIGURI,36252,19779,75724,131755,36
2009,13,WEST BENGAL,JALPAIGURI,46309,22426,90291,159026,42
2010,13,WEST BENGAL,JALPAIGURI,56201,26031,106957,189190,50
2011,13,WEST BENGAL,JALPAIGURI,61596,28341,127105,217042,56
2012,13,WEST BENGAL,JALPAIGURI,66654,32978,149997,249630,63
2013,13,WEST BENGAL,JALPAIGURI,71726,37518,171463,280708,70
2007,13,WEST BENGAL,DARJEELING,8605,17882,60691,87178,50
2008,13,WEST BENGAL,DARJEELING,5907,19077,73316,98301,56
2009,13,WEST BENGAL,DARJEELING,7478,20984,84288,112751,63
2010,13,WEST BENGAL,DARJEELING,8590,23703,96972,129265,71
2011,13,WEST BENGAL,DARJEELING,9690,29340,109106,148136,80
2012,13,WEST BENGAL,DARJEELING,10313,32553,121581,164447,88
2013,13,WEST BENGAL,DARJEELING,11067,35716,130407,177190,93
2007,13,WEST BENGAL,MALDA,31452,15733,33542,80727,22
2008,13,WEST BENGAL,MALDA,34165,16827,39997,90990,24
2009,13,WEST BENGAL,MALDA,42004,19817,46640,108460,28
2010,13,WEST BENGAL,MALDA,45853,23393,54874,124121,32
2011,13,WEST BENGAL,MALDA,50935,30131,64609,145675,37
2012,13,WEST BENGAL,MALDA,56636,34189,74071,164896,40
2013,13,WEST BENGAL,MALDA,63203,39041,82958,185203,44
2007,13,WEST BENGAL,COOCH BEHAR,26052,7804,25066,58922,22
2008,13,WEST BENGAL,COOCH BEHAR,31439,8312,28948,68700,25
2009,13,WEST BENGAL,COOCH BEHAR,50997,8974,34282,94253,34
2010,13,WEST BENGAL,COOCH BEHAR,43793,10819,39537,94149,34
2011,13,WEST BENGAL,COOCH BEHAR,48844,13209,45762,107814,38
2012,13,WEST BENGAL,COOCH BEHAR,54208,15416,52612,122235,43
2013,13,WEST BENGAL,COOCH BEHAR,60056,17833,59311,137199,47
2007,13,WEST BENGAL,PURULIA,25576,10023,31911,67509,24
2008,13,WEST BENGAL,PURULIA,28579,10805,37673,77058,27
2009,13,WEST BENGAL,PURULIA,28112,11864,46211,86187,30
2010,13,WEST BENGAL,PURULIA,25998,14074,55816,95888,33
2011,13,WEST BENGAL,PURULIA,29829,17133,66965,113927,39
2012,13,WEST BENGAL,PURULIA,33001,19880,80235,133116,45
2013,13,WEST BENGAL,PURULIA,36843,22701,92075,151620,50
2007,13,WEST BENGAL,MIDNAPUR,58053,23891,49442,131385,25
2008,13,WEST BENGAL,MIDNAPUR,66982,26417,58639,152039,29
2009,13,WEST BENGAL,MIDNAPUR,86568,27709,67821,182097,35
2010,13,WEST BENGAL,MIDNAPUR,111604,30012,79167,220783,41
2011,13,WEST BENGAL,MIDNAPUR,130388,32515,92484,255387,47
2012,13,WEST BENGAL,MIDNAPUR,152186,36578,107330,296093,54
2013,13,WEST BENGAL,MIDNAPUR,176743,43074,121945,341762,61
2007,13,WEST BENGAL,KOLKATA,1177,176549,448288,626014,138
2008,13,WEST BENGAL,KOLKATA,1317,193142,542399,736858,163
2009,13,WEST BENGAL,KOLKATA,1547,214632,585461,801640,178
2010,13,WEST BENGAL,KOLKATA,1652,244480,703644,949777,211
2011,13,WEST BENGAL,KOLKATA,1923,282695,837769,1122387,250
2012,13,WEST BENGAL,KOLKATA,2145,317377,978883,1298404,289
2013,13,WEST BENGAL,KOLKATA,2576,351400,1141804,1495779,334
2007,13,WEST BENGAL,WEST DINAJPUR,20703,7399,19043,47146,22
2008,13,WEST BENGAL,WEST DINAJPUR,21673,7982,22035,51689,24
2009,13,WEST BENGAL,WEST DINAJPUR,23018,8648,25129,56794,26
2010,13,WEST BENGAL,WEST DINAJPUR,23877,9782,29644,63301,29
2011,13,WEST BENGAL,WEST DINAJPUR,26240,11816,34514,72569,32
2012,13,WEST BENGAL,WEST DINAJPUR,28956,13161,39681,81798,36
2013,13,WEST BENGAL,WEST DINAJPUR,31893,14834,44745,91472,39
2007,2,BIHAR,MUZAFFARPUR,12494,8003,34214,54711,13
2008,2,BIHAR,MUZAFFARPUR,16488,9960,41777,68224,15
2009,2,BIHAR,MUZAFFARPUR,15432,11890,52242,79564,17
2010,2,BIHAR,MUZAFFARPUR,20751,16811,62379,99940,21
2011,2,BIHAR,MUZAFFARPUR,24539,23209,77333,125081,26
2012,2,BIHAR,MUZAFFARPUR,29800,29496,101101,160397,33
2013,2,BIHAR,MUZAFFARPUR,31110,35172,124012,190294,38
2007,2,BIHAR,DARBHANGA,9024,5169,25249,39442,11
2008,2,BIHAR,DARBHANGA,11969,6398,30209,48576,13
2009,2,BIHAR,DARBHANGA,11428,7584,36839,55850,15
2010,2,BIHAR,DARBHANGA,15156,10622,43281,69060,18
2011,2,BIHAR,DARBHANGA,18561,14781,52219,85561,22
2012,2,BIHAR,DARBHANGA,23333,18601,67358,109291,27
2013,2,BIHAR,DARBHANGA,25216,22080,81249,128545,31
2007,2,BIHAR,SAHARSA,7965,3054,9447,20466,12
2008,2,BIHAR,SAHARSA,11390,3889,11447,26726,15
2009,2,BIHAR,SAHARSA,10871,4671,14075,29616,16
2010,2,BIHAR,SAHARSA,15729,6829,16635,39193,21
2011,2,BIHAR,SAHARSA,19545,7255,20171,46971,25
2012,2,BIHAR,SAHARSA,25275,9134,25789,60199,31
2013,2,BIHAR,SAHARSA,27436,11078,31296,69810,35
2007,2,BIHAR,PURNEA,9208,8936,15490,33634,11
2008,2,BIHAR,PURNEA,11922,11424,18606,41953,14
2009,2,BIHAR,PURNEA,11381,12875,22954,47210,15
2010,2,BIHAR,PURNEA,15720,18313,27048,61081,19
2011,2,BIHAR,PURNEA,18279,16373,32806,67458,21
2012,2,BIHAR,PURNEA,22033,20252,41990,84275,25
2013,2,BIHAR,PURNEA,22436,24277,51757,98470,29
2007,2,BIHAR,SARAN,11361,5597,21088,38045,10
2008,2,BIHAR,SARAN,14725,6945,25172,46842,13
2009,2,BIHAR,SARAN,14491,8395,31386,54272,14
2010,2,BIHAR,SARAN,19749,11886,36123,67758,17
2011,2,BIHAR,SARAN,23514,16177,43623,83314,21
2012,2,BIHAR,SARAN,29024,19894,55586,104504,26
2013,2,BIHAR,SARAN,30376,23690,66726,120793,29
2007,2,BIHAR,PATNA,14113,29852,97131,141096,26
2008,2,BIHAR,PATNA,18444,37118,115867,171428,31
2009,2,BIHAR,PATNA,16380,41856,137914,196150,35
2010,2,BIHAR,PATNA,22614,57329,157930,237873,42
2011,2,BIHAR,PATNA,27289,79374,187029,293692,50
2012,2,BIHAR,PATNA,34228,99815,232170,366213,61
2013,2,BIHAR,PATNA,36081,119852,274251,430184,71
2007,2,BIHAR,MUNGAIR,5036,4437,9805,19277,15
2008,2,BIHAR,MUNGAIR,6407,5637,11496,23540,18
2009,2,BIHAR,MUNGAIR,5739,7263,14113,27115,21
2010,2,BIHAR,MUNGAIR,7315,10040,15630,32985,25
2011,2,BIHAR,MUNGAIR,8628,11890,18086,38603,28
2012,2,BIHAR,MUNGAIR,10569,14497,22365,47431,34
2013,2,BIHAR,MUNGAIR,11174,17469,25457,54100,38
2007,2,BIHAR,BHAGALPUR,10207,8294,21309,39810,14
2008,2,BIHAR,BHAGALPUR,13538,10446,25566,49550,17
2009,2,BIHAR,BHAGALPUR,13506,12459,31505,57470,20
2010,2,BIHAR,BHAGALPUR,18991,17217,36464,72673,24
2011,2,BIHAR,BHAGALPUR,23084,21982,44249,89315,29
2012,2,BIHAR,BHAGALPUR,29153,25809,56680,111642,36
2013,2,BIHAR,BHAGALPUR,31004,31164,68275,130442,41
2007,15,JHARKHAND,SANTHAL PARAGANA / DUMKA,5289,3058,5551,13898,11
2008,15,JHARKHAND,SANTHAL PARAGANA / DUMKA,4180,2973,6479,13632,11
2009,15,JHARKHAND,SANTHAL PARAGANA / DUMKA,3945,3174,8033,15152,12
2010,15,JHARKHAND,SANTHAL PARAGANA / DUMKA,5018,4276,10307,19600,15
2011,15,JHARKHAND,SANTHAL PARAGANA / DUMKA,5886,5133,11426,22445,17
2012,15,JHARKHAND,SANTHAL PARAGANA / DUMKA,6780,5963,13500,26244,20
2013,15,JHARKHAND,SANTHAL PARAGANA / DUMKA,7764,7441,15893,31098,23
2007,2,BIHAR,GAYA,5168,5323,25529,36020,9
2008,2,BIHAR,GAYA,6429,6668,30529,43626,11
2009,2,BIHAR,GAYA,5748,7566,36856,50170,12
2010,2,BIHAR,GAYA,7754,10598,43523,61874,14
2011,2,BIHAR,GAYA,8291,14352,52559,75202,17
2012,2,BIHAR,GAYA,9187,18223,67130,94541,21
2013,2,BIHAR,GAYA,8757,22061,80157,110975,24
2007,15,JHARKHAND,HAZARIBAGH,4261,22271,17380,43912,28
2008,15,JHARKHAND,HAZARIBAGH,3320,23198,20514,47032,29
2009,15,JHARKHAND,HAZARIBAGH,3341,29716,25061,58118,35
2010,15,JHARKHAND,HAZARIBAGH,4325,36256,34372,74953,44
2011,15,JHARKHAND,HAZARIBAGH,5177,39728,37976,82881,48
2012,15,JHARKHAND,HAZARIBAGH,5973,45049,45436,96459,54
2013,15,JHARKHAND,HAZARIBAGH,6880,51171,54562,112614,62
2007,15,JHARKHAND,DHANBAD,4382,58152,41974,104507,41
2008,15,JHARKHAND,DHANBAD,5799,56879,48295,110973,43
2009,15,JHARKHAND,DHANBAD,6333,68350,59767,134451,51
2010,15,JHARKHAND,DHANBAD,7838,82707,72270,162814,61
2011,15,JHARKHAND,DHANBAD,9550,90124,79712,179386,67
2012,15,JHARKHAND,DHANBAD,11192,98371,91906,201470,74
2013,15,JHARKHAND,DHANBAD,12943,110029,106123,229096,83
2007,15,JHARKHAND,PALAMAU,8372,2622,6854,17848,10
2008,15,JHARKHAND,PALAMAU,11412,2734,8039,22185,12
2009,15,JHARKHAND,PALAMAU,10980,3016,9890,23885,13
2010,15,JHARKHAND,PALAMAU,11228,4004,13026,28257,15
2011,15,JHARKHAND,PALAMAU,13520,4744,14595,32859,17
2012,15,JHARKHAND,PALAMAU,15367,5641,17355,38363,19
2013,15,JHARKHAND,PALAMAU,17458,6624,20443,44525,22
2007,15,JHARKHAND,RANCHI,9357,50151,44048,103556,39
2008,15,JHARKHAND,RANCHI,8129,45228,50654,104011,38
2009,15,JHARKHAND,RANCHI,7914,49266,61909,119089,43
2010,15,JHARKHAND,RANCHI,10198,63969,75737,149903,53
2011,15,JHARKHAND,RANCHI,11947,74950,84738,171635,59
2012,15,JHARKHAND,RANCHI,13498,84228,98068,195793,66
2013,15,JHARKHAND,RANCHI,15201,93234,113850,222284,73
2007,15,JHARKHAND,SINGHBHUM,5033,57828,24424,87284,45
2008,15,JHARKHAND,SINGHBHUM,6201,47062,27827,81089,42
2009,15,JHARKHAND,SINGHBHUM,6088,48779,34458,89324,45
2010,15,JHARKHAND,SINGHBHUM,8207,61528,40636,110370,55
2011,15,JHARKHAND,SINGHBHUM,9529,64589,43940,118058,58
2012,15,JHARKHAND,SINGHBHUM,10798,69352,50211,130361,63
2013,15,JHARKHAND,SINGHBHUM,12204,74929,57463,144595,69
2007,11,TAMIL NADU,CHENNAI,2281,234865,545001,782147,173
2008,11,TAMIL NADU,CHENNAI,2643,246689,685737,935069,205
2009,11,TAMIL NADU,CHENNAI,3367,307651,784620,1095637,239
2010,11,TAMIL NADU,CHENNAI,3610,370638,994102,1368351,296
2011,11,TAMIL NADU,CHENNAI,3670,428457,1178724,1610851,347
2012,11,TAMIL NADU,CHENNAI,3644,469695,1410704,1884042,403
2013,11,TAMIL NADU,CHENNAI,3786,498807,1695176,2197769,467
